image,species,individual_id
00021adfb725ed.jpg,melon_headed_whale,cadddb1636b9
000562241d384d.jpg,humpback_whale,1a71fbb72250
0007c33415ce37.jpg,false_killer_whale,60008f293a2b
00087baf5cef7a.jpg,humpback_whale,8e5253662392
000bef247c7a42.jpg,humpback_whale,444d8894ccc8
001001f099519f.jpg,minke_whale,19fbb960f07d
00103cbe9d25ce.jpg,fin_whale,180c0ab04dcd
0018064338b499.jpg,blue_whale,4790ec346170
001b0900f56e89.jpg,humpback_whale,bc14b5054353
001cfade605960.jpg,blue_whale,ff69d0975a73
001f1a1f22da96.jpg,minke_whale,780fefdb6198
0020004d64ae20.jpg,gray_whale,a8c9dfb8ac6f
00206a224e68de.jpg,blue_whale,6c4372e42db1
0022bdb8eb5684.jpg,humpback_whale,35f898e6595e
00234b893ea9e8.jpg,false_killer_whale,bfb74132d1db
0024057bbc89a4.jpg,minke_whale,114207cab555
002618d6f63ebc.jpg,southern_right_whale,f5eab86405b4
0029d877c29ab4.jpg,melon_headed_whale,c27f0a7f4e5a
002ac5f9ad7c10.jpg,false_killer_whale,f7bb4f9a9d1a
002fb5fee50b97.jpg,humpback_whale,45fc3a8e1d4e
0030835e895969.jpg,kiler_whale,1816cc1ae38b
0032f90c7732b0.jpg,melon_headed_whale,a21288153152
0036b5c11b39f3.jpg,pilot_whale,fefd0899a5dc
0038d3be2513c0.jpg,blue_whale,6348a7ef0d99
003ffd805a5910.jpg,melon_headed_whale,2842789d601d
00405189464f9d.jpg,humpback_whale,cab2ce1793f2
004132b34ded14.jpg,humpback_whale,3e025417eb83
0044ec4ae5ecfd.jpg,killer_whale,e6388e8a7f58
0044fb81b4f1c7.jpg,humpback_whale,ede6a5ed0100
0046ceef89b3fc.jpg,minke_whale,37c7aba965a5
004797c1c43563.jpg,false_killer_whale,07a477b6a091
004a7fef39cf16.jpg,humpback_whale,471ee7717ce7
004a923b0b401e.jpg,minke_whale,ce6e37904aa4
004efe00a3e100.jpg,blue_whale,dc27b43c825e
005248b53efb3c.jpg,humpback_whale,f38dcf315fde
0053d003390997.jpg,gray_whale,fdcf5957ae47
00549928dca501.jpg,humpback_whale,032fd951a415
005a9cc627a55d.jpg,long_finned_pilot_whale,82aee03bc09b
005e317de9a658.jpg,blue_whale,99be972e093d
005e53b1b6aada.jpg,minke_whale,37c7aba965a5
005f85f23464f8.jpg,humpback_whale,0b180ad0afa2
006033d6691cef.jpg,blue_whale,2f2a8d23f37d
006077a8e080fa.jpg,humpback_whale,299dd7c209df
00647f8ff9f243.jpg,sei_whale,fb492f141125
00665aba3c163b.jpg,humpback_whale,be05e480ae65
0067205f90977d.jpg,melon_headed_whale,e50fcf9eefa8
006cc681396f71.jpg,sei_whale,2f5a62b26ef2
007003e07cb9fd.jpg,humpback_whale,6669f6bcfef6
00756614506440.jpg,blue_whale,51d8eb322bbd
0076826dae9092.jpg,blue_whale,9ef7e5421462
007784cb6d6631.jpg,melon_headed_whale,61d80f453ccf
0079009e883e38.jpg,false_killer_whale,19c2bfaa0819
00835b2e9aa162.jpg,gray_whale,432f64decd00
0086e36dfb15fd.jpg,humpback_whale,9940775556b7
008705d384b02a.jpg,killer_whale,fe8052dcc19e
00870a2b4f5f60.jpg,cuviers_beaked_whale,9bb396533ccc
008b4760ade506.jpg,melon_headed_whale,ee6ef8e3cc0c
008bb028b196d8.jpg,blue_whale,4da7ad05c03d
008c5d3fc215ac.jpg,humpback_whale,22404199917d
00931cfd50f2b0.jpg,killer_whale,e702dc246ecd
009379360f0987.jpg,fin_whale,b6a0a552e43c
009b6593ccc800.jpg,minke_whale,4d18b20adff3
009c968192535f.jpg,gray_whale,613d4dd25716
009d3abcd8d794.jpg,blue_whale,2787592f8e61
00a198105cdc24.jpg,humpback_whale,da611bc6c389
00a5f0c7e639ce.jpg,blue_whale,f23863acde5a
00ac4935ad83b4.jpg,humpback_whale,152d41d8f0a6
00afe60388a560.jpg,killer_whale,1138a9024ee5
00afe7b25dc241.jpg,humpback_whale,136214790115
00b3bf2c51d511.jpg,false_killer_whale,4b9bc905af99
00b773df4a863d.jpg,humpback_whale,be3543fc7c74
00be328933f508.jpg,blue_whale,30c6cff9ac82
00c021e7dc6da2.jpg,fin_whale,43a1413b3da1
00c0bf276875e0.jpg,false_killer_whale,7a890f4d5842
00ce336ef6b8b5.jpg,humpback_whale,35f898e6595e
00cf7a68a89a6d.jpg,humpback_whale,c9ab1ba25eb8
00d0927689a7a2.jpg,humpback_whale,6a6fa3ec3810
00d57842379951.jpg,blue_whale,a3d1f5d2fb22
00de478885ca7c.jpg,melon_headed_whale,992145e63e59
00e130666ba6e6.jpg,humpback_whale,938b7e931166
00e4b6642f7f5a.jpg,false_killer_whale,ea6eccb47a48
00e6b936f02c6e.jpg,blue_whale,fc7685b5bd05
00e9136ab88016.jpg,killer_whale,27f53391fdcc
00eb689c10db84.jpg,brydes_whale,a5fa185061f0
00efc65d9f69ee.jpg,humpback_whale,5da95809a5a3
00f286edc2e6bb.jpg,humpback_whale,7362d7a01d00
00f32804ed5fb3.jpg,false_killer_whale,2280b5fcc6c2
00f3e4528e819e.jpg,fin_whale,180c0ab04dcd
00f5b73aa72279.jpg,humpback_whale,bba489ffa50e
00f6d88f12dcf8.jpg,humpback_whale,8497e07df745
00fa44f35d843b.jpg,humpback_whale,aa0e4acb6a29
00fa57e4793b90.jpg,humpback_whale,10e758eb503a
00fa70fb2c3673.jpg,humpback_whale,a19b3b964ac1
010134d3eeb07e.jpg,pilot_whale,cf9f94464b9b
0103735160dd47.jpg,fin_whale,aaadebb37be1
0104ac335f66f9.jpg,southern_right_whale,98336401fb38
0106d276033b78.jpg,minke_whale,37c7aba965a5
01086bfef670be.jpg,false_killer_whale,bf2e0d964354
0108abfde9a987.jpg,fin_whale,6c06847d81e4
010c211438b04b.jpg,gray_whale,fc0f7c162cc0
010d5ad0f83ae5.jpg,fin_whale,54b4a6338123
010e82a9b3c737.jpg,humpback_whale,8ee65de044e7
0112262f4d1f65.jpg,humpback_whale,2744cec60e63
01127023ed6443.jpg,melon_headed_whale,0e889a43f33a
01128c0e26a1b8.jpg,humpback_whale,4c47fe2b6931
01130df8d2d82b.jpg,humpback_whale,8f336ca59cfd
0113b8b3ee71e6.jpg,gray_whale,a8c9dfb8ac6f
011c2171176e57.jpg,humpback_whale,df109f6bede4
01205db44cf1e4.jpg,false_killer_whale,e53d52e33e81
012b8b46cfdf1c.jpg,fin_whale,e63450af6eaf
0130886c5f63bb.jpg,blue_whale,c104a602fd63
01308e45bf22d3.jpg,kiler_whale,c2b64ccd2f88
013cdf45f229eb.jpg,false_killer_whale,55419ffd0ad0
013cfccddd6768.jpg,gray_whale,c4deab707116
0141b6f29e9a00.jpg,blue_whale,b9fb92324fa1
014214dc22a0ed.jpg,humpback_whale,5393adf1a8ac
014699bde284ee.jpg,humpback_whale,17757e0eff14
0147d65f4229c6.jpg,melon_headed_whale,f97c05394de7
014a0116965ca3.jpg,blue_whale,6caa1a89ff9d
014ba64e8ce8ec.jpg,minke_whale,37c7aba965a5
014d58ae6a59b4.jpg,melon_headed_whale,6914117ad135
014dc3fa335192.jpg,humpback_whale,4a006cafd0b8
014f6d1c690aff.jpg,melon_headed_whale,daee25985a26
01504a17d6a680.jpg,killer_whale,5fcda730474e
0151559debca5b.jpg,humpback_whale,4f83193cc69e
0152e03282b76f.jpg,humpback_whale,400d43387c48
015526265ab976.jpg,false_killer_whale,df94ff1826b0
01569010785472.jpg,humpback_whale,99b09281e3cd
015af1c1c4ba43.jpg,blue_whale,c3287e843265
015b9c7df6b33a.jpg,killer_whale,27f53391fdcc
015e210d90a490.jpg,blue_whale,23968f704e18
015e9cc83e2b7f.jpg,humpback_whale,35f898e6595e
0160e42335b69d.jpg,melon_headed_whale,0d8c98a292b6
0161145721b62e.jpg,killer_whale,645f3f614dd0
01614d81068ff6.jpg,short_finned_pilot_whale,4fb5ef2a9b98
01615264fa5c3e.jpg,blue_whale,265016a18097
016184c3f563b9.jpg,melon_headed_whale,ec66175061f6
01637f0b588ed8.jpg,minke_whale,37c7aba965a5
0164d8fd7a7cfe.jpg,minke_whale,19fbb960f07d
016e9030a195e6.jpg,melon_headed_whale,a977dca03f23
01707fff2f49bc.jpg,humpback_whale,24d962add626
0170c7b65aa8ee.jpg,false_killer_whale,2fdb3a09dc9c
01718fb61d4f79.jpg,blue_whale,99233c785f69
017530c72fcd5b.jpg,humpback_whale,4957e2218e8e
017599446c556c.jpg,humpback_whale,6bd07da59100
0178b96f0f1085.jpg,false_killer_whale,9a66d006b36e
017ebb4d3d7dea.jpg,false_killer_whale,e33a507393ca
0180f16956a57a.jpg,humpback_whale,f18ff9b26d5f
0183c302f9110a.jpg,humpback_whale,02f5c5ee9c2a
018490eafcf301.jpg,gray_whale,2ca0b9b39092
01870901b93c90.jpg,blue_whale,75514dab65c9
018758f87100cf.jpg,humpback_whale,7a4ef3059b64
0189635c8ac226.jpg,blue_whale,4e04cd0ae71c
0189a3eec84aed.jpg,humpback_whale,18efa8d0b472
018c26d1c4ac2f.jpg,gray_whale,c9e1dd139ec6
0191b5c7854c24.jpg,humpback_whale,7362d7a01d00
01924fda9cf0d1.jpg,pilot_whale,bababdd38081
0194a42a1edeb0.jpg,false_killer_whale,641184a532a3
